[1] "Starting at 2025-05-21 09:51:48.017006"
[1] "tools/exomedepth/exomedepthParams.yaml"
[2] "datasets.yaml"                         
[3] "true"                                  
[1] "Params for this execution: list(phi.bins = 1, n.bins.reduced = 10000, transition.probability = 1e-04, expected.CNV.length = 50000)"
[1] "Datasets for this execution: list(dataset1 = list(include = FALSE, bams_dir = \"/yourPath/bams/\", bed_file = \"/yourPath/bed5.bed\", annotated_bed_file = \"/yourPath/annotated.bed.bed\", fasta_file = \"/yourPath/GRCh37_Ensembl_67.fa\", fasta_dict = \"/yourPath/GRCh37_Ensembl_67.dict\", validated_results_file = \"/yourPath/MLPAresults.txt\", validated_results_file_format = \"icr\", read_length = 101), mydataset = list(include = TRUE, bams_dir = \"/CNV/Sample_data\", bed_file = \"/CNV/CNVbenchmarkeR/gene_regions.bed\", annotated_bed_file = \"/annotated.bed.bed\", \n    fasta_file = \"/CNV/ref/Homo_sapiens_assembly38.fasta\", fasta_dict = \"/yourPath/GRCh37_Ensembl_67.dict\", validated_results_file = \"/CNV/CNVbenchmarkeR/ValidataionResult_CSR.csv\", validated_results_file_format = \"icr\", read_length = 101))"
[1] "Starting ExomeDepth for mydataset dataset"
Reference fasta file provided so ExomeDepth will compute the GC content in each window
Parse 33 BAM files
 [1] "/CNV/Sample_data/LI22850.bam"        "/CNV/Sample_data/LI23273.bam"       
 [3] "/CNV/Sample_data/LI23901.bam"        "/CNV/Sample_data/LI25641.bam"       
 [5] "/CNV/Sample_data/LI26223.bam"        "/CNV/Sample_data/LI26224.bam"       
 [7] "/CNV/Sample_data/LI26226.bam"        "/CNV/Sample_data/LI26252.bam"       
 [9] "/CNV/Sample_data/LI35301.bam"        "/CNV/Sample_data/LI38070.bam"       
[11] "/CNV/Sample_data/LI45665.bam"        "/CNV/Sample_data/Sorted_LI22025.bam"
[13] "/CNV/Sample_data/Sorted_LI22026.bam" "/CNV/Sample_data/Sorted_LI25110.bam"
[15] "/CNV/Sample_data/Sorted_LI25111.bam" "/CNV/Sample_data/Sorted_LI25112.bam"
[17] "/CNV/Sample_data/Sorted_LI25113.bam" "/CNV/Sample_data/Sorted_LI25114.bam"
[19] "/CNV/Sample_data/Sorted_LI25115.bam" "/CNV/Sample_data/Sorted_LI25116.bam"
[21] "/CNV/Sample_data/Sorted_LI25117.bam" "/CNV/Sample_data/Sorted_LI25118.bam"
[23] "/CNV/Sample_data/Sorted_LI25119.bam" "/CNV/Sample_data/Sorted_LI25210.bam"
[25] "/CNV/Sample_data/Sorted_LI25211.bam" "/CNV/Sample_data/Sorted_LI25212.bam"
[27] "/CNV/Sample_data/Sorted_LI25213.bam" "/CNV/Sample_data/Sorted_LI25214.bam"
